Name,Accession,Population,Areakm2,GDP,gdpPerCapita,Currency,Gini,HDI,MEPs,Languages
Austria Austria,1995,"8,792,500",83855,447718,"55,406",euro,29.1,0.908,19,German
Belgium Belgium,Founder,"11,365,834",30528,517609,"50,114",euro,33,0.916,21,Dutch
Bulgaria Bulgaria,2007,"7,101,859",110994,66250,"23,741",lev,29.2,0.813,17,Bulgarian
Croatia Croatia,2013,"4,154,213",56594,60702,"27,681",kuna,29,0.831,12,Croatian
Cyprus Cyprus[a],2004,"854,802",9251,24280,"39,079",euro,31.2,0.869,6,Greek
Czech Republic Czech Republic,2004,"10,467,628",78866,246953,"40,293",koruna,25.8,0.9,21,Czech[c]
Denmark Denmark[d],1973,"5,743,947",43075,347176,"57,781",krone,24.7,0.929,14,Danish
Estonia Estonia,2004,"1,315,635",45227,31038,"37,033",euro,36,0.871,7,Estonian
Finland Finland[e],1995,"5,577,282",338424,269654,"49,334",euro,26.9,0.92,14,Finnish
France France[f],Founder,"67,024,633","632,833[8]",2707074,"45,454",euro,32.7,0.901,79,French
Germany Germany,Founder[g],"83,149,300",357386,3863344,"53,571",euro,28.3,0.936,96,German
Greece Greece,1981,"10,757,293",131990,214012,"29,045",euro,34.3,0.87,21,Greek
Hungary Hungary,2004,"9,797,561",93030,170407,"32,434",forint,30,0.838,21,Hungarian
Republic of Ireland Ireland,1973,"4,774,833",70273,384940,"89,383",euro,34.3,0.938,13,English
Italy Italy,Founder,"61,219,113",301338,1988636,"40,065",euro,36,0.892,76,Italian
Latvia Latvia,2004,"1,950,116",64589,35045,"30,579",euro,35.7,0.847,8,Latvian
Lithuania Lithuania,2004,"2,847,904",65200,53641,"38,605",euro,35.8,0.858,11,Lithuanian
Luxembourg Luxembourg,Founder,"589,370",2586.4,69453,"112,875",euro,30.8,0.904,6,French
Malta Malta,2004,"440,433",316,14859,"43,086",euro,25.8,0.878,6,Maltese
Netherlands Netherlands[i],Founder,"17,220,721",41543,902355,"57,101",euro,30.9,0.931,29,Dutch
Poland Poland,2004,"37,972,964",312685,565854,"33,739",złoty,34.9,0.865,52,Polish
Portugal Portugal[k],1986,"10,291,027","92,212[10]",236408,"33,131",euro,32.1[,0.847,21,Portuguese
Romania Romania,2007,"19,638,309",238391,243698,"30,141",leu,31.5,0.811,33,Romanian
Slovakia Slovakia,2004,"5,435,343",49035,106552,"32,184",euro,25.8,0.855,14,Slovak
Slovenia Slovenia,2004,"2,065,895",20273,54154,"38,506",euro,31.2,0.896,8,Slovene
Spain Spain[l],1986,"46,528,966",504030,1397870,"38,143",euro,32,0.904,59,Spanish
Sweden Sweden,1995,"10,080,000",449964,528929,"52,477",krona,25,0.933,21,Swedish
