Provice,Rank,gdpPerCapita
China,0,10276
Macao,1,84096
Hong Kong,2,48713
Beijing,3,23805
Shanghai,4,22799
Jiangsu,5,17918
Zhejiang,6,15601
Fujian,7,15531
Guangdong,8,13651
Tianjin,9,13100
Hubei,10,11218
Chongqing,11,10992
Shandong,12,10242
Inner Mongolia,13,9836
Shaanxi,14,9661
Anhui,15,8479
Hunan,16,8341
Liaoning,17,8290
Hainan,18,8191
Henan,19,8174
Sichuan,20,8085
Xinjiang,21,7868
Ningxia,22,7859
Jiangxi,23,7707
Qinghai,24,7100
Tibet,25,7089
Yunnan,26,6950
Guizhou,27,6731
Hebei,28,6719
Shanxi,29,6628
Jilin,30,6302
Guangxi,31,6228
Heilongjiang,32,5245
Gansu,33,5083
