year,coal,natural gas,nuclear,renewables,petroleum and other,total
1950,155,45,0,101,34,335
1951,185,57,0,105,29,376
1952,195,68,0,110,30,403
1953,219,80,0,110,38,447
1954,239,94,0,112,32,477
1955,301,95,0,117,37,550
1956,339,104,0,125,36,604
1957,346,114,0,134,40,634
1958,344,120,0,144,40,648
1959,378,147,0,141,47,713
1960,403,158,1,150,48,760
1961,422,169,2,156,49,798
1962,450,184,2,172,49,857
1963,494,202,3,169,52,920
1964,526,220,3,181,57,987
1965,571,222,4,197,65,1059
1966,613,251,6,198,79,1147
1967,630,265,8,226,89,1218
1968,685,304,13,227,104,1333
1969,706,333,14,254,138,1445
1970,704,373,22,252,184,1535
1971,713,374,38,270,220,1615
1972,771,376,54,278,274,1753
1973,848,341,83,278,314,1864
1974,828,320,114,307,301,1870
1975,853,300,173,307,289,1922
1976,944,295,191,291,320,2041
1977,985,306,251,228,358,2128
1978,976,305,276,287,365,2209
1979,1075,329,255,287,304,2250
1980,1162,346,251,285,246,2290
1981,1203,346,273,270,206,2298
1982,1192,305,283,318,147,2245
1983,1259,274,294,342,144,2313
1984,1342,297,328,333,120,2420
1985,1402,292,384,295,100,2473
1986,1386,249,414,306,137,2492
1987,1464,273,455,265,118,2575
1988,1541,253,527,238,149,2708
1989,1584,353,529,325,176,2967
1990,1594,373,577,357,137,3038
1991,1591,382,613,358,131,3075
1992,1621,404,619,327,113,3084
1993,1690,415,610,357,125,3197
1994,1691,460,640,337,120,3248
1995,1709,496,673,385,90,3353
1996,1795,455,675,423,96,3444
1997,1845,479,629,434,105,3492
1998,1874,531,674,400,141,3620
1999,1881,556,728,399,130,3694
2000,1966,601,754,356,124,3801
2001,1904,639,769,288,137,3737
2002,1933,691,780,343,111,3858
2003,1974,650,764,355,141,3884
2004,1978,710,789,351,142,3970
2005,2013,761,782,358,142,4056
2006,1991,816,787,386,85,4065
2007,2016,897,806,353,85,4157
2008,1986,883,806,381,63,4119
2009,1756,921,799,418,57,3951
2010,1847,988,807,427,56,4125
2011,1733,1014,790,513,49,4099
2012,1514,1226,769,495,44,4048
2013,1581,1125,789,522,49,4066
2014,1582,1127,797,539,50,4095
2015,1352,1333,797,544,50,4076
2016,1239,1378,806,609,44,4076
2017,1206,1296,805,687,40,4034
2018,1146,1468,807,713,44,4178
2019,966,1582,809,720,40,4117
