Name, Distance
w a pawn,3295.751442127198
w b pawn,2812.679040059813
w c pawn,4163.956636336036
w d pawn,4584.025612106879
w e pawn,4763.417531092661
w f pawn,2864.2815004748254
w g pawn,2651.4427842621076
w h pawn,3234.0407640085414
w queenside rook,18920.0
w queenside knight,14022.38228690118
w queenside bishop,16290.326024975584
w queen,21410.16434310763
w king,13510.179284748425
w kingside bishop,16851.768809237736
w kingside knight,16030.37133069604
w kingside rook,20654.24264068712
b a pawn,9144.602150540219
b b pawn,7587.264437568691
b c pawn,9263.75919785911
b d pawn,8327.391465777382
b e pawn,8326.997638598186
b f pawn,5246.735795341632
b g pawn,4806.401478071899
b h pawn,5773.7223700388595
b queenside rook,21972.172996104033
b queenside knight,18182.511177979744
b queenside bishop,20488.915486440783
b queen,23696.086910523878
b king,12705.0846968707
b kingside bishop,19966.270347598
b kingside knight,18031.862179425072
b kingside rook,24234.57363111077
