Region,Year,AvgEarning
Adjara,2019,952.9
Adjara,2018,866.6
Adjara,2017,808.2
Adjara,2016,794
Adjara,2015,770.5
Adjara,2014,641
Adjara,2013,586
Adjara,2012,543.9
Adjara,2011,481.4
Adjara,2010,442.6
Guria,2019,617.7
Guria,2018,600.5
Guria,2017,547.1
Guria,2016,493.3
Guria,2015,515.4
Guria,2014,391.8
Guria,2013,350.7
Guria,2012,299.7
Guria,2011,293.8
Guria,2010,286.3
Imereti,2019,723.2
Imereti,2018,690.8
Imereti,2017,667.1
Imereti,2016,617.6
Imereti,2015,590.2
Imereti,2014,522.4
Imereti,2013,501.2
Imereti,2012,461.3
Imereti,2011,399.5
Imereti,2010,359.5
Kakheti,2019,690.2
Kakheti,2018,627.4
Kakheti,2017,554.1
Kakheti,2016,531.2
Kakheti,2015,493.5
Kakheti,2014,456.5
Kakheti,2013,430.8
Kakheti,2012,370.1
Kakheti,2011,329.5
Kakheti,2010,339.7
Kvemo Kartli,2019,851.4
Kvemo Kartli,2018,791.4
Kvemo Kartli,2017,754.2
Kvemo Kartli,2016,711.1
Kvemo Kartli,2015,707.2
Kvemo Kartli,2014,644.9
Kvemo Kartli,2013,637.5
Kvemo Kartli,2012,593.2
Kvemo Kartli,2011,509.4
Kvemo Kartli,2010,509.1
Mtskheta-Mtianeti,2019,901.9
Mtskheta-Mtianeti,2018,818.1
Mtskheta-Mtianeti,2017,795
Mtskheta-Mtianeti,2016,765.9
Mtskheta-Mtianeti,2015,737.9
Mtskheta-Mtianeti,2014,685.2
Mtskheta-Mtianeti,2013,658.2
Mtskheta-Mtianeti,2012,520.9
Mtskheta-Mtianeti,2011,484.4
Mtskheta-Mtianeti,2010,432.6
Racha-Lechkhumi-Kvemo Svaneti,2019,556.9
Racha-Lechkhumi-Kvemo Svaneti,2018,495
Racha-Lechkhumi-Kvemo Svaneti,2017,483.8
Racha-Lechkhumi-Kvemo Svaneti,2016,453.9
Racha-Lechkhumi-Kvemo Svaneti,2015,435.1
Racha-Lechkhumi-Kvemo Svaneti,2014,393.6
Racha-Lechkhumi-Kvemo Svaneti,2013,366.4
Racha-Lechkhumi-Kvemo Svaneti,2012,312.2
Racha-Lechkhumi-Kvemo Svaneti,2011,287.2
Racha-Lechkhumi-Kvemo Svaneti,2010,309.2
Samegrelo-Zemo Svaneti,2019,793.1
Samegrelo-Zemo Svaneti,2018,758.2
Samegrelo-Zemo Svaneti,2017,681.8
Samegrelo-Zemo Svaneti,2016,629.9
Samegrelo-Zemo Svaneti,2015,596.5
Samegrelo-Zemo Svaneti,2014,560.1
Samegrelo-Zemo Svaneti,2013,542.1
Samegrelo-Zemo Svaneti,2012,484.7
Samegrelo-Zemo Svaneti,2011,420.1
Samegrelo-Zemo Svaneti,2010,415.6
Samtskhe-Javakheti,2019,711.6
Samtskhe-Javakheti,2018,640.5
Samtskhe-Javakheti,2017,611.1
Samtskhe-Javakheti,2016,578.3
Samtskhe-Javakheti,2015,524.3
Samtskhe-Javakheti,2014,507.8
Samtskhe-Javakheti,2013,501.9
Samtskhe-Javakheti,2012,398.9
Samtskhe-Javakheti,2011,356.4
Samtskhe-Javakheti,2010,349
Shida Kartli,2019,707.2
Shida Kartli,2018,658
Shida Kartli,2017,591.7
Shida Kartli,2016,585.1
Shida Kartli,2015,547.8
Shida Kartli,2014,512.1
Shida Kartli,2013,485.9
Shida Kartli,2012,463.8
Shida Kartli,2011,379.2
Shida Kartli,2010,358.2
Tbilisi,2019,1350
Tbilisi,2018,1286.4
Tbilisi,2017,1209.4
Tbilisi,2016,1135.1
Tbilisi,2015,1077.5
Tbilisi,2014,997.2
Tbilisi,2013,942.8
Tbilisi,2012,871.5
Tbilisi,2011,791
Tbilisi,2010,753
