fullName,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total 15 + population,totalPopulationOfWorkingAge,3016.8,3026.2,3141.6,3191,3169.9,3163.3,3159.4,3160.3,3157.9,3164.8,3157.1,3145.8,3114.8,3088.1,3057.3,3036.9,3031.6,3019.1,3009.4,3012.3,3034.3,3037.1,3018.5
"Labour force (Active population), total",labourForceTotal,1972.8,1939.3,2049.2,2113.3,2025.8,2049.5,2009.4,1982.7,1911.9,1908.7,1944.7,1971.8,1603.8,1624.6,1654.7,1627.5,1629,1675.6,1653.8,1641.4,1605.2,1572.8,1523.7
Employed,employed,1728.5,1694.4,1837.2,1877.7,1752.1,1789.6,1730.8,1683,1618,1577.3,1597.3,1611,1167.6,1183,1212.2,1197.8,1255,1308.5,1294.5,1286.9,1296.2,1295.9,1241.8
Hired,hired,724.4,697.5,683.9,654.3,660.1,672.4,636.2,632.2,608.4,628.5,621.8,634.5,710,724,759.4,739.1,795.5,855.3,853.9,869.3,903.5,897.5,845.3
Self-employed,selfEmployed,987.1,918.6,1041.2,1136.1,1088.5,1115.9,1093,1050,1007.8,948.7,974.4,975.2,455.2,452,445.2,449.5,453,445.6,434.4,416.8,392.2,397.9,395.9
Not-identified worker,notIdentifiedWorker,17,78.4,112.1,87.3,3.6,1.3,1.6,0.8,1.9,0.1,1.1,1.3,2.5,7,7.6,9.2,6.5,7.5,6.3,0.8,0.6,0.5,0.7
Unemployed,unemployed,244.2,244.9,212,235.6,273.7,259.9,278.6,299.7,293.9,331.4,347.4,360.8,436.2,441.6,442.5,429.7,374,367.2,359.2,354.5,309,276.9,281.9
Population outside the labour force,populationForce,1044,1086.9,1092.3,1077.7,1144.1,1113.8,1150,1177.6,1245.9,1256.1,1212.4,1174,1511,1463.5,1402.6,1409.4,1402.6,1343.5,1355.7,1370.9,1429,1464.3,1494.8
"Unemployment rate, percentage",unemploymentRatePercentage,12.4,12.6,10.3,11.1,13.5,12.7,13.9,15.1,15.4,17.4,17.9,18.3,27.2,27.2,26.7,26.4,23,21.9,21.7,21.6,19.2,17.6,18.5
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,65.4,64.1,65.2,66.2,63.9,64.8,63.6,62.7,60.5,60.3,61.6,62.7,51.5,52.6,54.1,53.6,53.7,55.5,55,54.5,52.9,51.8,50.5
"Employment rate, percentage",employmentRatePercentage,57.3,56,58.5,58.8,55.3,56.6,54.8,53.3,51.2,49.8,50.6,51.2,37.5,38.3,39.6,39.4,41.4,43.3,43,42.7,42.7,42.7,41.1
