president,age
George Washington,57
John Adams,64
James Madison,75
Andrew Jackson,69
John Quincy Adams,77
Martin Van Buren,65
James Buchanan,71
Millard Fillmore,68
Andrew Johnson,65
Ulysses S. Grant,53
Rutherford B. Hayes,62
Benjamin Harrison,59
Grover Cleveland,63
Theodore Roosevelt,49
William Howard Taft,51
Woodrow Wilson,56
William Howard Taft,66
Calvin Coolidge,57
Herbert Hoover,58
Harry S. Truman,80
Lyndon B. Johnson,64
Richard Nixon,60
Ronald Reagan,69
Gerald Ford,90
George H. W. Bush,82
Jimmy Carter,94
