"RANK,   NATION,                                               CO2_TOT"
"1,    CHINA (MAINLAND),                                     2806634"
"2,    UNITED STATES OF AMERICA,                             1432855"
"3,    INDIA,                                                 610411"
"4,    RUSSIAN FEDERATION,                                    465052"
"5,    JAPAN,                                                 331074"
"6,    GERMANY,                                               196314"
"7,    ISLAMIC REPUBLIC OF IRAN,                              177115"
"8,    SAUDI ARABIA,                                          163907"
"9,    REPUBLIC OF KOREA,                                     160119"
"10,    CANADA,                                                146494"
"11,    BRAZIL,                                                144480"
"12,    SOUTH AFRICA,                                          133562"
"13,    MEXICO,                                                130971"
"14,    INDONESIA,                                             126582"
"15,    UNITED KINGDOM,                                        114486"
"16,    AUSTRALIA ,                                             98517"
"17,    TURKEY,                                                 94350"
"18,    ITALY (INCLUDING SAN MARINO),                           87377"
"19,    THAILAND,                                               86232"
"20,    FRANCE (INCLUDING MONACO),                              82704"

